,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
11,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","DRM Office Danapur, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
12,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","Govt. High School Shikarpur, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
13,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","IGSC Planetarium Complex, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
14,Bihar,Patna,"Muradpur, Patna - BSPCB","Muradpur, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
15,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","Rajbansi Nagar, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
16,Bihar,Patna,"Samanpura, Patna - BSPCB","Samanpura, Patna, Bihar","Patna, Bihar, India",,"(25.6093239, 85.1235252, 0.0)",25.6093239,85.1235252,"Patna, Patna Rural, Patna, Bihar, 800001, India"
17,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","Sector-25, Chandigarh, Chandigarh","Chandigarh, Chandigarh, India","Sector 25, Ward 5, Chandigarh, India","(30.7516466, 76.7567324, 0.0)",30.7516466,76.7567324,
18,Delhi,Delhi,"Alipur, Delhi - DPCC","Alipur, Delhi, Delhi","Delhi, Delhi, India","Alipur, Alipur Tehsil, North Delhi, Delhi, 110036, India","(28.7959955, 77.1360706, 0.0)",28.7959955,77.1360706,
19,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","Anand Vihar, Delhi, Delhi","Delhi, Delhi, India","Anand Vihar, Vivek Vihar Tehsil, Shahdara, Delhi, India","(28.641115, 77.3125024, 0.0)",28.641115,77.3125024,
20,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","Ashok Vihar, Delhi, Delhi","Delhi, Delhi, India","Ashok Vihar, Ashok Vihar Road, Ashok Vihar - II, Saraswati Vihar Tehsil, North Delhi, Delhi, 110052, India","(28.6994533, 77.1848256, 0.0)",28.6994533,77.1848256,
21,Delhi,Delhi,"Aya Nagar, Delhi - IMD","Aya Nagar, Delhi, Delhi","Delhi, Delhi, India","Aya Nagar, Mehrauli Tehsil, South Delhi, Delhi, India","(28.47649105, 77.13291315925144, 0.0)",28.47649105,77.13291316,
22,Delhi,Delhi,"Bawana, Delhi - DPCC","Bawana, Delhi, Delhi","Delhi, Delhi, India","Bawana, Narela Tehsil, North Delhi, Delhi, India","(28.79966, 77.0328847, 0.0)",28.79966,77.0328847,
23,Delhi,Delhi,"Burari Crossing, Delhi - IMD","Burari Crossing, Delhi, Delhi","Delhi, Delhi, India","Burari Crossing, Doctor KB Hedgewar Marg, Civil Lines Tehsil, Central Delhi, Delhi, 110084, India","(28.7285944, 77.1993251, 0.0)",28.7285944,77.1993251,
24,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","CRRI Mathura Road, Delhi, Delhi","Delhi, Delhi, India","CRRI, Mathura Road, Pocket A, Kalkaji Tehsil, South East Delhi, Delhi, 1243, India","(28.5500925, 77.2751557, 0.0)",28.5500925,77.2751557,
25,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","Chandni Chowk, Delhi, Delhi","Delhi, Delhi, India","Chandni Chowk, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 100006, India","(28.6559834, 77.2321937, 0.0)",28.6559834,77.2321937,
26,Delhi,Delhi,"DTU, Delhi - CPCB","DTU, Delhi, Delhi","Delhi, Delhi, India","DTU Temple Park, Sector 27, Rohini, Alipur Tehsil, North Delhi, Delhi, India","(28.7473272, 77.11568781182513, 0.0)",28.7473272,77.11568781,
27,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","Dr. Karni Singh Shooting Range, Delhi, Delhi","Delhi, Delhi, India","Dr. Karni Singh Shooting Range, Mehrauli Badarpur Road, Vishwakarma Colony, Tughlakabad, Kalkaji Tehsil, South East Delhi, Delhi, SUNPAT HOUSE VILLAGE, India","(28.5000822, 77.26751472410736, 0.0)",28.5000822,77.26751472,
28,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC","Dwarka-Sector 8, Delhi, Delhi","Delhi, Delhi, India","Dwarka Sector 8, Road 205, Sector 9, Dwarka, Dwarka Tehsil, South West Delhi, Delhi, 110077, India","(28.5656109, 77.0670366, 0.0)",28.5656109,77.0670366,
29,Delhi,Delhi,"East Arjun Nagar, Delhi - CPCB","East Arjun Nagar, Delhi, Delhi","Delhi, Delhi, India","East Arjun Nagar, Safeda Basti, Vivek Vihar Tehsil, Shahdara, Delhi, 110051, India","(28.6569534, 77.2947178, 0.0)",28.6569534,77.2947178,
30,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","IGI Airport (T3), Delhi, Delhi","Delhi, Delhi, India","Indira Gandhi International Airport, Delhi-Gurugram Expressway, Middle Shankar Vihar, Delhi Cantonment, Vasant Vihar Tehsil, Delhi, 110010, India","(28.55489735, 77.08467458266915, 0.0)",28.55489735,77.08467458,
31,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","IHBAS, Dilshad Garden, Delhi, Delhi","Delhi, Delhi, India",,"(28.6517178, 77.2219388, 0.0)",28.6517178,77.2219388,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India"
32,Delhi,Delhi,"ITO, Delhi - CPCB","ITO, Delhi, Delhi","Delhi, Delhi, India","ITO, Indraprastha Marg, Indraprastha Estate, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 1100002, India","(28.6282118, 77.2451545, 0.0)",28.6282118,77.2451545,
